# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-a" "/scratch_tmp/grp/msc_appbio/group1/ref_gen/raw_refgen/GCF_000146045.2/genomic.gtf" "-g" "db_xref" "-o" "/scratch_tmp/grp/msc_appbio/group1/outputs/readCounts/readCounts2.txt" "/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318268_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318269_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318270_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318271_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318268_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318269_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318270_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318271_Aligned.sortedByCoord.out.bam
GenBank:NM_001178341.1	NC_001134.8	24946	28299	-	3354	7154	7652	8286	5807
GenBank:NM_001184585.1	NC_001134.8	28427	28546	+	120	416	314	280	299
GenBank:NM_001180050.2	NC_001134.8	29935	35248	+	5314	951	1468	711	591
GenBank:NM_001180049.1	NC_001134.8	29935	31251	+	1317	0	0	0	0
GeneID:852176	NC_001134.8;NC_001134.8	36398;36453	36434;36488	+;+	73	1	2	0	2
GenBank:NM_001178339.2	NC_001134.8	37053	38690	+	1638	32391	37461	48952	57016
GenBank:NM_001178338.1	NC_001134.8	39145	40527	+	1383	3372	3408	3681	5795
GenBank:NM_001178337.2	NC_001134.8	40831	43095	+	2265	937	893	783	619
GenBank:NM_001178335.1	NC_001134.8	43277	44089	+	813	3772	3994	3533	3801
GenBank:NM_001178333.1	NC_001134.8	44256	44918	-	663	8751	9733	5668	4968
GenBank:NM_001178332.1	NC_001134.8	45978	46370	+	393	27636	31229	32173	45710
GenBank:NM_001184321.1	NC_001134.8;NC_001134.8	46565;47147	47058;47180	-;-	528	3652	3723	2704	2488
GenBank:NM_001178331.2	NC_001134.8	47363	48628	-	1266	11154	12005	12948	11238
GenBank:NM_001178330.1	NC_001134.8	48825	49358	+	534	10763	8777	8019	12775
GenBank:NM_001178329.1	NC_001134.8	49574	50953	+	1380	2675	2627	2086	2487
GenBank:NM_001178328.2	NC_001134.8	51019	59382	-	8364	4392	5311	5047	4594
GenBank:NM_001178327.1	NC_001134.8;NC_001134.8	59822;60698	60193;60739	-;-	414	14106	15251	15179	24920
GenBank:NM_001178326.1	NC_001134.8	61202	62602	-	1401	3510	3237	4509	3261
GenBank:NM_001178325.1	NC_001134.8	63876	66818	+	2943	4962	5883	5920	5648
GenBank:NM_001178324.2	NC_001134.8	67169	69445	-	2277	5916	6203	6829	4820
GenBank:NM_001178322.1	NC_001134.8	69751	71127	-	1377	3895	4606	2536	2505
GenBank:NM_001178321.1	NC_001134.8	71866	72972	+	1107	960	1314	1150	1260
GenBank:NM_001178320.2	NC_001134.8	73070	74695	-	1626	3347	3217	2961	3340
GenBank:NM_001178319.1	NC_001134.8	75259	79767	+	4509	5921	6643	6094	5817
GenBank:NM_001178318.1	NC_001134.8	80378	80731	-	354	9217	8637	9709	6844
GenBank:NM_001178316.1	NC_001134.8	81043	84261	-	3219	15439	18373	14719	22158
GenBank:NM_001178315.1	NC_001134.8	84499	86448	-	1950	305492	278407	356350	226762
GenBank:NM_001178314.1	NC_001134.8	86722	87789	-	1068	874	976	881	780
GenBank:NR_132151.1	NC_001134.8	88190	88277	+	88	23	13	8	13
GenBank:NM_001178312.1	NC_001134.8	88523	89125	-	603	20957	22448	25475	35240
GenBank:NM_001184584.1	NC_001134.8	89458	89556	-	99	34	27	11	12
GenBank:NM_001184454.1	NC_001134.8	89978	90226	+	249	1765	1872	1751	1879
GenBank:NM_001346794.1	NC_001134.8	90223	90531	-	309	1358	1413	1425	1646
GenBank:NM_001178309.1	NC_001134.8	90741	92030	+	1290	2851	2953	2607	2476
GenBank:NM_001178308.2	NC_001134.8	92414	93394	+	981	2867	3331	3402	5248
GenBank:NM_001178307.2	NC_001134.8	93639	95882	-	2244	14731	14454	14166	12141
GenBank:NM_001178306.1	NC_001134.8	96669	100115	-	3447	5907	6720	6775	5180
GenBank:NM_001178304.1	NC_001134.8	100371	101156	-	786	44210	41805	53230	42938
GenBank:NM_001178303.1	NC_001134.8	101886	105221	+	3336	3393	3478	4007	3774
GenBank:NM_001178301.1	NC_001134.8	105316	107406	-	2091	3644	4084	3523	4213
GenBank:NM_001178300.1	NC_001134.8	107932	109995	+	2064	3899	4322	2918	3238
GenBank:NM_001184440.1	NC_001134.8;NC_001134.8	110125;110506	110420;110539	-;-	330	7706	6698	5672	9933
GenBank:NM_001178299.1	NC_001134.8;NC_001134.8	110594;110949	110879;111244	+;+	582	2718	3168	2586	3388
GenBank:NM_001178298.1	NC_001134.8	111437	112708	+	1272	22502	22977	24011	20136
GenBank:NM_001178297.2	NC_001134.8	112801	113427	-	627	4520	4700	3841	5758
GenBank:NM_001178296.2	NC_001134.8	113762	115168	+	1407	13148	13346	11042	11671
GenBank:NM_001178295.1	NC_001134.8	115573	116829	-	1257	3265	3710	2920	3690
GenBank:NM_001178294.1	NC_001134.8	117589	119166	+	1578	6111	6706	5806	5017
GenBank:NM_001178292.1	NC_001134.8	119379	121874	-	2496	4929	5056	4456	4521
GenBank:NM_001178291.1	NC_001134.8	122753	124759	-	2007	4309	4735	4876	3901
GenBank:NM_001178290.1	NC_001134.8;NC_001134.8	125125;125271	125154;126119	+;+	879	19396	19053	17864	15674
GenBank:NM_001178289.1	NC_001134.8	126828	127244	+	417	13425	13092	13583	10038
GenBank:NM_001348869.1	NC_001134.8	127299	127610	+	312	2916	2599	2496	2014
GenBank:NM_001178287.1	NC_001134.8	127895	132040	-	4146	21594	22705	21741	18452
GenBank:NM_001178286.1	NC_001134.8	132424	133749	+	1326	4289	4481	3278	3070
GenBank:NM_001178285.1	NC_001134.8	134143	135516	-	1374	24533	29055	38576	55593
GenBank:NM_001178284.1	NC_001134.8	135998	136366	+	369	21	12	8	16
GenBank:NM_001178283.1	NC_001134.8	136688	137461	+	774	8655	9105	13575	19440
GenBank:NM_001178282.1	NC_001134.8	138341	140260	-	1920	8604	8286	8038	7175
GenBank:NM_001178281.1	NC_001134.8	141247	141972	+	726	19422	20420	20491	24023
GenBank:NM_001178280.1	NC_001134.8;NC_001134.8	142112;142847	142749;142868	-;-	660	9896	10248	6425	13977
GenBank:NM_001184527.1	NC_001134.8	143393	143572	+	180	4457	3113	3827	4331
GenBank:NM_001178279.1	NC_001134.8	143989	145728	-	1740	3449	3924	3906	6479
GenBank:NM_001178278.1	NC_001134.8	146187	146885	+	699	7000	6875	6330	8597
GenBank:NM_001178277.1	NC_001134.8	147209	150286	+	3078	4500	4532	4441	3283
GenBank:NM_001178276.1	NC_001134.8	150447	151220	-	774	7893	7451	6743	9456
GenBank:NM_001178275.1	NC_001134.8	151493	153610	-	2118	3576	3747	3450	4258
GenBank:NM_001178274.1	NC_001134.8	153848	158389	-	4542	4103	4078	3879	3599
GenBank:NM_001178273.1	NC_001134.8	158656	159693	-	1038	17006	18681	16904	15111
GenBank:NM_001178272.1	NC_001134.8	160184	161329	+	1146	4680	4502	4780	4721
GenBank:NM_001178271.1	NC_001134.8	161699	162715	+	1017	596	653	791	1116
GenBank:NM_001178270.1	NC_001134.8	163041	163997	-	957	28989	35569	41034	62908
GenBank:NM_001184457.1	NC_001134.8	164488	164772	-	285	6533	5033	6327	6482
GenBank:NM_001178269.1	NC_001134.8	166134	167264	+	1131	5207	4569	4588	4872
GenBank:NM_001178268.1	NC_001134.8	167518	167838	-	321	5215	4338	4275	8125
GenBank:NM_001178267.1	NC_001134.8;NC_001134.8	168423;168809	168424;169376	+;+	570	42536	45405	54729	72717
GenBank:NM_001178266.1	NC_001134.8;NC_001134.8	170623;170805	170676;171038	+;+	288	13629	11009	10431	16037
GenBank:NM_001178265.1	NC_001134.8	171481	171918	+	438	1771	1925	1633	1527
GenBank:NM_001178264.1	NC_001134.8	172534	174588	+	2055	5677	6125	5473	5168
GenBank:NM_001178263.1	NC_001134.8	174920	177526	-	2607	4233	4361	3441	3509
GenBank:NM_001178262.1	NC_001134.8	177874	181275	-	3402	22744	24978	25007	23568
GenBank:NM_001178261.1	NC_001134.8	181660	182094	-	435	2369	2711	2191	2664
GenBank:NM_001178260.1	NC_001134.8	182401	184125	+	1725	3899	4535	3544	3875
GenBank:NM_001178259.1	NC_001134.8	184353	185915	+	1563	2923	3263	2450	3022
GenBank:NM_001178258.1	NC_001134.8;NC_001134.8	185998;186428	186352;186474	-;-	402	8151	7165	5883	7836
GenBank:NM_001178257.1	NC_001134.8	186844	191583	-	4740	9750	10932	9982	9191
GenBank:NM_001178256.1	NC_001134.8	192451	193512	+	1062	3400	3534	3914	4160
GenBank:NM_001178255.1	NC_001134.8	194122	195702	+	1581	18822	20730	21517	29403
GeneID:852267	NC_001134.8	197494	197567	+	74	1	4	3	5
GeneID:852268	NC_001134.8	197629	197699	-	71	3	1	3	1
GenBank:NM_001178254.2	NC_001134.8	199064	201748	-	2685	2868	3262	2688	2909
GenBank:NM_001178253.1	NC_001134.8	202056	203261	+	1206	288	267	406	377
GenBank:NM_001178251.1	NC_001134.8	203538	205817	+	2280	5574	6510	6032	6877
GenBank:NM_001178250.1	NC_001134.8	206107	206949	-	843	1478	1509	1363	1492
GenBank:NM_001178249.1	NC_001134.8	207194	209224	+	2031	2892	3434	2522	3156
GenBank:NM_001184539.1	NC_001134.8	209409	209648	+	240	18	36	25	10
GenBank:NM_001178248.2	NC_001134.8	209653	212175	+	2523	4645	5124	3745	3210
GenBank:NM_001178247.1	NC_001134.8	212632	216366	-	3735	18206	19406	19552	15005
GenBank:NM_001178246.1	NC_001134.8	216587	217129	-	543	6194	5838	5087	6044
GenBank:NM_001178245.1	NC_001134.8	217470	220400	+	2931	2784	3009	2610	2268
GenBank:NM_001180048.2	NC_001134.8	221330	226598	+	5269	24	27	20	16
GenBank:NM_001180047.1	NC_001134.8	221330	222652	+	1323	0	0	0	0
GeneID:852281	NC_001134.8	227075	227156	+	82	54	39	15	45
GenBank:NM_001178244.1	NC_001134.8	227636	235117	+	7482	6036	7259	6214	6104
GenBank:NM_001178243.1	NC_001134.8	235394	235792	-	399	6363	7049	5734	9347
GenBank:NM_001178242.1	NC_001134.8	236492	236887	+	396	4521	5311	4937	6104
GenBank:NM_001178241.1	NC_001134.8	237153	237467	-	315	33576	25650	31795	37259
GenBank:NM_001178349.1	NC_001134.8	238941	241283	-	2343	7147	7238	6847	5598
GenBank:NM_001178350.1	NC_001134.8	241708	242568	-	861	3569	4324	2972	3026
GenBank:NM_001178351.1	NC_001134.8	242809	244230	+	1422	3252	3956	3374	4129
GenBank:NM_001178352.2	NC_001134.8	244366	245667	-	1302	2677	3172	2229	2477
GenBank:NM_001178353.1	NC_001134.8	245906	246547	+	642	5974	8107	6071	7626
GenBank:NM_001178354.1	NC_001134.8	247010	248503	+	1494	26173	26229	22217	16444
GenBank:NM_001178355.2	NC_001134.8	248806	251016	-	2211	2697	2708	2074	2108
GenBank:NM_001178356.1	NC_001134.8	252563	254209	-	1647	12848	10994	9196	4927
GenBank:NM_001178357.1	NC_001134.8	255373	255684	-	312	39496	40644	33493	31576
GenBank:NM_001178358.1	NC_001134.8	256331	256741	+	411	33403	30294	27792	31341
GenBank:NM_001178359.1	NC_001134.8	257112	257975	-	864	19558	20839	23138	21107
GenBank:NM_001180056.2	NC_001134.8	259869	265140	+	5272	17	16	15	5
GenBank:NM_001180055.1	NC_001134.8	259869	261191	+	1323	0	0	0	0
GenBank:NM_001178361.1	NC_001134.8	265492	265881	-	390	528	534	376	377
GeneID:852301	NC_001134.8	266378	266450	+	73	12	13	4	10
GenBank:NM_001178362.1	NC_001134.8	266725	267336	-	612	6025	5682	4359	6702
GenBank:NM_001178363.1	NC_001134.8	267710	269503	-	1794	16737	15276	14482	12979
GenBank:NM_001178364.1	NC_001134.8	270247	270633	+	387	7096	8931	7970	8263
GenBank:NM_001178365.1	NC_001134.8	270947	273703	-	2757	6265	6652	6494	5945
GenBank:NM_001178366.1	NC_001134.8	274427	275527	-	1101	764	663	843	568
GenBank:NM_001178367.1	NC_001134.8	276253	278352	-	2100	888	685	605	1095
GenBank:NR_172474.1	NC_001134.8	276805	280645	+	3841	296	300	301	220
GenBank:NM_001178368.1	NC_001134.8	279021	280607	+	1587	0	0	0	0
GenBank:NM_001178369.1	NC_001134.8	281443	283344	+	1902	3821	3873	3132	2626
GenBank:NM_001178370.1	NC_001134.8	283738	284271	+	534	6946	6081	4697	6373
GenBank:NM_001178371.1	NC_001134.8	284428	287925	-	3498	7240	7923	7283	8030
GenBank:NM_001178372.1	NC_001134.8	289445	290350	+	906	3476	3488	3095	2701
GenBank:NM_001178373.1	NC_001134.8	290681	291865	-	1185	37888	42831	34315	30758
GenBank:NM_001178374.1	NC_001134.8	292877	294019	-	1143	67738	56598	98803	76395
GenBank:NM_001346795.1	NC_001134.8	294024	294356	-	333	157	209	211	272
GenBank:NM_001178376.1	NC_001134.8	294425	296002	-	1578	3313	3279	3152	3846
GenBank:NM_001178377.1	NC_001134.8	296369	297742	-	1374	8245	7655	6454	6980
GenBank:NM_001178378.1	NC_001134.8	298292	299950	+	1659	2342	2443	1960	2183
GenBank:NM_001178379.1	NC_001134.8	300166	301254	+	1089	15899	19174	18711	23357
GenBank:NM_001346796.1	NC_001134.8	301519	301821	+	303	361	361	325	277
GenBank:NM_001178381.1	NC_001134.8	301944	304703	+	2760	2723	3062	2713	2665
GenBank:NM_001178382.1	NC_001134.8	304930	305976	-	1047	7030	8532	6318	8877
GenBank:NM_001178383.1	NC_001134.8	306269	306955	-	687	9727	8810	9010	10139
GenBank:NR_132152.1	NC_001134.8	307185	307345	-	161	64	52	57	59
GenBank:NR_132153.1	NC_001134.8	307587	308887	+	1301	3878	4882	3817	5997
GenBank:NM_001178384.1	NC_001134.8	309081	310313	-	1233	18057	19150	14362	14293
GenBank:NM_001178385.1	NC_001134.8	310565	311452	-	888	4583	4342	4348	4458
GenBank:NM_001178386.1	NC_001134.8	311898	314789	+	2892	1286	1303	1016	808
GenBank:NM_001178387.1	NC_001134.8	315575	316510	+	936	20201	22224	25842	33847
GenBank:NM_001178388.1	NC_001134.8	316968	317864	+	897	406	354	323	354
GenBank:NM_001178389.1	NC_001134.8	318266	320275	+	2010	4111	4664	4118	4322
GenBank:NM_001178390.1	NC_001134.8	320416	321609	-	1194	3214	3412	2259	3152
GenBank:NM_001178391.2	NC_001134.8	321876	323945	-	2070	9918	9127	10611	8932
GenBank:NM_001178392.2	NC_001134.8	324341	326059	-	1719	3744	3904	3749	4425
GeneID:852333	NC_001134.8	326792	326865	-	74	12	7	0	9
GenBank:NM_001178393.2	NC_001134.8	328173	330092	-	1920	3221	3237	4404	4382
GenBank:NM_001178394.1	NC_001134.8	330507	331511	-	1005	17369	16352	18068	16062
GenBank:NM_001178395.1	NC_001134.8	331833	332360	+	528	2700	2404	2235	2392
GenBank:NM_001178396.1	NC_001134.8;NC_001134.8	332831;333387	332875;333812	+;+	471	14856	16938	18936	27271
GenBank:NM_001178397.1	NC_001134.8	334386	336818	-	2433	6332	6251	6448	5177
GenBank:NM_001178398.1	NC_001134.8	337183	338199	-	1017	26046	20908	16232	12899
GenBank:NM_001178400.1	NC_001134.8	338720	339352	-	633	6993	8028	7080	11396
GenBank:NM_001178401.1	NC_001134.8	339675	340751	-	1077	12338	11309	13682	11604
GenBank:NM_001178402.1	NC_001134.8	343101	344135	+	1035	131508	134468	79195	68248
GenBank:NM_001178403.1	NC_001134.8	344602	347301	-	2700	3970	4574	3736	4224
GeneID:852345	NC_001134.8	347603	347686	+	84	5	7	9	9
GenBank:NM_001178404.1	NC_001134.8	347879	349384	+	1506	15119	14214	16445	14947
GeneID:852347	NC_001134.8	350827	350898	+	72	17	10	3	11
GenBank:NM_001270739.1	NC_001134.8	351255	351455	+	201	3118	6475	2385	4992
GenBank:NM_001178405.1	NC_001134.8	352193	353293	-	1101	7013	6544	8637	8108
GenBank:NM_001178406.1	NC_001134.8	353672	356017	-	2346	9521	9233	9645	7960
GenBank:NM_001184442.3	NC_001134.8	356324	356566	-	243	12381	9311	12701	15669
GenBank:NM_001178407.1	NC_001134.8	356861	360187	-	3327	11087	11280	10843	7781
